,Q1A,Q6A,Q8A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,scores
96,2,2,4,1,2,2,3,2,2,3,2,1,2,3,2,2,3,4,2,2,46
97,2,2,3,1,2,1,4,1,1,3,3,2,1,1,2,4,2,3,1,2,41
98,1,2,1,4,1,1,3,1,1,2,4,3,1,1,2,1,1,2,1,1,34
99,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,23
100,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,26
101,1,1,1,1,1,2,2,1,1,3,2,1,2,1,3,1,1,1,1,1,28
102,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,22
103,3,2,3,3,2,1,2,3,1,4,1,3,1,3,3,2,4,1,3,3,48
104,2,3,2,1,2,1,2,1,1,2,1,3,1,4,4,4,3,1,3,4,45
105,2,1,3,1,1,3,2,1,1,1,1,2,3,2,1,1,1,2,1,1,31
106,1,2,2,1,1,2,2,1,3,4,3,1,2,1,2,2,4,2,4,1,41
107,1,4,3,2,4,2,4,2,1,2,3,4,1,2,4,4,4,4,1,4,56
108,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,22
109,2,2,2,4,2,3,4,1,1,2,4,1,1,3,1,1,1,4,3,1,43
110,2,2,2,4,2,1,4,3,1,4,4,2,1,1,3,1,2,1,3,2,45
111,3,2,4,4,4,3,4,1,4,3,3,4,2,3,3,3,2,4,2,4,62
112,3,1,3,4,2,3,4,1,3,4,4,1,3,4,2,1,4,3,4,2,56
113,3,2,2,3,3,2,4,1,3,2,2,4,2,1,2,3,1,2,2,2,46
114,3,2,3,2,3,3,2,2,2,2,1,3,2,1,3,3,2,3,2,1,45
115,3,2,2,2,3,3,3,2,1,2,3,2,2,3,3,2,3,2,2,3,48
116,3,3,1,2,2,3,2,1,1,2,1,1,1,2,3,2,2,2,1,2,37
117,3,3,3,4,3,2,4,2,1,4,3,3,1,2,3,2,3,3,1,3,53
118,3,2,3,1,3,3,4,3,2,1,1,4,2,3,4,3,1,4,1,4,52
119,2,2,2,4,3,2,4,3,2,3,3,3,2,2,3,2,3,2,3,2,52
120,3,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,75
121,1,2,3,4,2,2,4,1,1,3,4,1,1,1,1,2,1,4,1,2,41
122,4,3,2,4,2,1,4,1,2,4,4,4,2,2,2,2,2,1,2,3,51
123,3,2,2,4,3,2,3,3,2,3,3,2,3,4,3,4,2,2,2,4,56
124,1,2,2,1,2,2,1,3,1,1,1,2,2,2,1,2,1,1,2,2,32
125,3,3,3,2,2,4,2,4,4,2,2,3,3,3,3,2,3,3,2,3,56
126,1,2,2,4,2,2,4,2,1,3,3,3,1,2,2,2,2,2,2,2,44
127,3,3,2,1,2,1,3,2,1,1,2,2,1,2,3,2,2,2,2,3,40
128,4,2,3,1,4,1,3,4,2,4,2,4,1,2,3,3,4,4,4,2,57
129,2,1,2,3,2,2,3,1,2,3,3,3,1,2,2,1,2,3,2,2,42
130,3,2,2,4,3,3,4,3,3,4,4,1,2,2,2,3,3,4,2,2,56
131,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,26
132,1,2,2,2,2,3,2,3,1,2,1,2,1,3,2,3,2,4,2,2,42
133,3,4,3,3,3,3,4,3,1,3,3,1,1,3,3,3,3,3,3,3,56
134,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,1,26
135,1,1,3,4,1,1,4,1,1,4,4,1,2,2,1,1,1,1,1,1,36
136,2,3,3,2,3,2,3,1,1,4,2,2,1,3,2,3,3,3,3,2,48
137,2,3,2,4,4,3,4,3,4,2,3,3,2,4,2,4,3,3,1,3,59
138,2,2,2,2,3,1,3,2,2,2,2,1,2,2,1,2,1,3,1,2,38
139,1,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,25
140,3,3,3,4,3,4,4,2,1,4,4,2,4,4,4,4,3,4,2,3,65
141,1,2,4,4,1,4,4,4,4,4,4,2,4,2,4,1,4,4,4,3,64
142,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,3,2,1,2,2,36
143,2,2,1,3,1,2,3,1,1,1,4,2,3,1,3,4,2,3,3,3,45
144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,21
145,3,4,2,4,4,3,2,1,2,1,2,2,1,3,4,3,4,4,2,3,54
146,2,2,2,2,2,1,2,3,1,2,2,2,1,2,2,1,1,2,2,1,35
147,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
148,2,3,2,2,3,4,2,1,2,2,2,2,2,1,2,2,3,3,2,2,44
149,2,1,2,1,2,1,2,1,1,3,1,1,1,1,1,2,2,1,1,2,29
150,4,1,2,3,3,1,1,1,2,2,2,3,1,3,4,2,1,2,1,1,40
151,1,1,2,2,3,2,1,2,1,2,2,1,2,2,1,3,4,2,4,1,39
152,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,3,1,2,3,2,30
153,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,4,76
154,3,4,1,1,2,4,2,2,2,3,4,3,4,1,3,2,2,4,1,3,51
155,2,2,1,2,1,3,3,2,4,2,3,1,2,2,2,2,2,3,2,3,44
156,1,1,1,1,2,2,1,3,1,1,1,1,1,1,2,1,1,2,2,1,27
157,2,3,2,2,2,1,2,2,1,2,1,2,1,2,3,2,3,2,2,2,39
158,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80
159,1,1,2,1,1,3,1,1,1,2,1,2,1,2,1,2,1,3,1,1,29
160,2,2,1,1,3,3,2,3,2,1,2,4,1,1,1,1,3,2,3,1,39
161,2,2,2,4,3,4,4,1,3,3,4,3,2,3,2,3,3,3,2,2,55
162,2,3,2,2,3,2,3,2,1,2,2,2,1,3,2,2,2,2,2,2,42
163,4,3,3,3,3,1,2,3,1,3,3,4,4,4,4,3,3,2,3,4,60
164,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,24
165,4,4,2,2,4,2,1,4,2,1,2,3,3,2,4,4,4,2,3,4,57
166,1,3,2,2,3,1,4,1,2,3,3,3,1,2,3,2,3,2,1,3,45
167,3,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,3,4,72
168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,22
169,3,4,4,4,4,4,4,2,1,3,4,3,1,3,3,3,3,4,2,4,63
170,1,1,4,4,1,3,4,2,2,4,4,1,4,1,2,2,3,3,1,1,48
171,2,3,2,2,3,3,2,1,1,4,3,1,1,3,1,2,2,3,1,2,42
